"States/UTs","2010-2011","2009-10","2008-09"
"Andaman and Nicobar","0","7","1"
"Andhra Pradesh","1119","1837","2442"
"Arunachal Pradesh","485","576","786"
"Assam","1322","2511","1901"
"Bihar","81","397","143"
"Chandigarh","0","0","0"
"Chhatisgarh","1074","2835","2849"
"Dadra and Nagar haveli","0","0","0"
"Daman and Diu","0","0","0"
"Delhi","1","0","0"
"Goa","3","0","2"
"Gujarat","101","179","182"
"Haryana","5","29","21"
"Himachal Pradesh","6","125","168"
"Jammu and Kashmir","7","30","117"
"Jharkhand","192","1314","430"
"Karnataka","370","428","604"
"Kerala","10","106","166"
"Lakshadweep","0","0","0"
"Madhya Pradesh","1451","2386","2894"
"Maharashtra","882","1789","2257"
"Manipur","1275","2487","1477"
"Meghalaya","879","1743","1010"
"Mizoram","1691","4675","3434"
"Nagaland","919","1654","984"
"Orissa","780","2515","208"
"Puducherry","0","0","0"
"Punjab","10","56","41"
"Rajasthan","86","117","96"
"Sikkim","1","5","1"
"Tamil nadu","34","148","276"
"Tripura","634","1127","717"
"Uttar Pradesh","198","737","370"
"Uttarakhand","85","855","631"
"West Bengal","197","224","100"
